"city","city_ascii","state_id","state_name","county_fips","county_name","lat","lng","population","density","source","military","incorporated","timezone","ranking","zips","id"
"Thornton","Thornton","CO","Colorado","08001","Adams","39.9197","-104.9438","144186","1549","shape","FALSE","TRUE","America/Denver","2","80260 80233 80241 80640 80023 80229 80602","1840021422"
"Tyler","Tyler","TX","Texas","48423","Smith","32.3184","-95.3062","143616","711","shape","FALSE","TRUE","America/Chicago","2","75709 75702 75703 75701 75711","1840022076"
"Athens","Athens","GA","Georgia","13059","Clarke","33.9508","-83.3689","143081","414","shape","FALSE","TRUE","America/New_York","2","30602 30622 30601 30605 30606 30607 30609 30683","1840029463"
"Beaumont","Beaumont","TX","Texas","48245","Jefferson","30.0849","-94.1451","142759","549","shape","FALSE","TRUE","America/Chicago","2","77708 77705 77706 77707 77701 77702 77703 77713","1840019612"
"Pueblo","Pueblo","CO","Colorado","08101","Pueblo","38.2701","-104.6114","142726","779","shape","FALSE","TRUE","America/Denver","2","81004 81005 81003 81001 81008","1840020255"
"Odessa","Odessa","TX","Texas","48135","Ector","31.8801","-102.3448","142581","926","shape","FALSE","TRUE","America/Chicago","2","79762 79761 79763 79765","1840020794"
"Mesquite","Mesquite","TX","Texas","48113","Dallas","32.7602","-96.5865","142429","1134","shape","FALSE","TRUE","America/Chicago","2","75149 75126 75150 75181","1840020713"
"Fairfield","Fairfield","CA","California","06095","Solano","38.2583","-122.0335","142042","1081","shape","FALSE","TRUE","America/Los_Angeles","2","94533 94534 94535","1840020253"
"Pasadena","Pasadena","CA","California","06037","Los Angeles","34.1597","-118.1390","142017","2388","shape","FALSE","TRUE","America/Los_Angeles","2","91103 91101 91104 91125 91106 91107 91105","1840020505"
"Charleston","Charleston","WV","West Virginia","54039","Kanawha","38.3484","-81.6322","141640","579","shape","FALSE","TRUE","America/New_York","2","25387 25305 25304 25303 25302 25301 25311 25314","1840006196"
"Fullerton","Fullerton","CA","California","06059","Orange","33.8841","-117.9279","141061","2429","shape","FALSE","TRUE","America/Los_Angeles","2","92835 92833 92832 92831","1840020576"
"Algonac","Algonac","MI","Michigan","26147","St. Clair","42.6207","-82.5339","4057","1103","shape","FALSE","TRUE","America/Detroit","3","48001","1840003955"
